項番,記事URL,記事公開日,記事レーティング,記事カテゴリ,検証対象URL,検証対象,クレーム,証拠URL,証拠説明文,証拠先行ラベル,逆クレームラベル,証拠URLリスト,真実性ラベル,正当性説明文,画像数,画像1_改ざんラベル,画像1_OOCラベル,画像1_AI生成ラベル,画像2_改ざんラベル,画像2_OOCラベル,画像2_AI生成ラベル,画像3_改ざんラベル,画像3_OOCラベル,画像3_AI生成ラベル,画像4_改ざんラベル,画像4_OOCラベル,画像4_AI生成ラベル,動画数,動画1_改ざんラベル,動画1_OOCラベル,動画1_AI生成ラベル,再利用ラベル,OOCラベル
1,https://www.factcheckcenter.jp/fact-check/disasters/shizuoka-disaster-drone-captured-ai-generated-fake-image/,2022/9/28,誤り,災害,https://x.com/i/status/1574121450860007424,"テキスト,画像1,画像2,画像3",投稿された画像は静岡県で2022年9月26日に起きた災害の画像である。,https://x.com/i/status/1574292823595094016,投稿された画像は静岡県で2022年9月26日に起きた災害のフェイク画像である。,False,False,https://x.com/i/status/1574292823595094016,False,これらの情報を総合し、検証対象のツイートの画像はAIで作成された偽画像で、2022年9月26日の静岡の災害画像であるというのは誤り。,3,True,True,True,True,True,True,True,True,True,-,-,-,0,-,-,-,False,True
2,https://www.factcheckcenter.jp/fact-check/disasters/shizuoka-disaster-drone-captured-ai-generated-fake-image/,2022/9/28,誤り,災害,https://x.com/i/status/1574121450860007424,"テキスト,画像1,画像2,画像3",投稿された画像は静岡県で2022年9月26日に起きた災害のフェイク画像である。,https://x.com/i/status/1574292823595094016,投稿された画像は静岡県で2022年9月26日に起きた災害のフェイク画像である。,False,True,https://x.com/i/status/1574292823595094016,True,これらの情報を総合し、検証対象のツイートの画像はAIで作成された偽画像。,3,True,False,True,True,False,True,True,False,True,-,-,-,0,-,-,-,False,False
3,https://www.factcheckcenter.jp/fact-check/politics/inaccurate-claims-on-population-increase-in-naha-city-before-okinawa-gubernatorial-election/,2022/9/28,不正確,政治,https://x.com/i/status/1566340443046301697,テキスト,2022年9月に行われた沖縄県知事選挙の3ヶ月前から選挙期間中である9月4日までの間に、那覇市では100人以上の人口増加があった。,https://www.city.naha.okinawa.jp/admin/toukei/jinkou/jin/index.html,2022年9月に行われた沖縄県知事選挙の3ヶ月前から選挙期間中である9月4日までの間に那覇市では100人以上人口増加していない。,True,False,https://www.city.naha.okinawa.jp/admin/toukei/jinkou/jin/index.html https://ryukyushimpo.jp/news/entry-1579617.html https://www.city.naha.okinawa.jp/admin/senkan/meibo_touhyoujo/tourokusya.html,False,「那覇市の人口増加」は、一時的には存在するものの全体的に減少傾向にあり、かつ、選挙人名簿登録者数も減っているため、不正確と判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
4,https://www.factcheckcenter.jp/fact-check/politics/inaccurate-claims-on-population-increase-in-naha-city-before-okinawa-gubernatorial-election/,2022/9/28,不正確,政治,https://x.com/i/status/1566340443046301697,テキスト,2022年9月に行われた沖縄県知事選挙の3ヶ月前から選挙期間中である9月4日までの間に那覇市では100人以上人口増加していない。,https://www.city.naha.okinawa.jp/admin/toukei/jinkou/jin/index.html,2022年9月に行われた沖縄県知事選挙の3ヶ月前から選挙期間中である9月4日までの間に那覇市では100人以上人口増加していない。,True,True,https://www.city.naha.okinawa.jp/admin/toukei/jinkou/jin/index.html https://ryukyushimpo.jp/news/entry-1579617.html https://www.city.naha.okinawa.jp/admin/senkan/meibo_touhyoujo/tourokusya.html,True,「那覇市の人口増加」は、一時的には存在するものの全体的に減少傾向にあり、かつ、選挙人名簿登録者数も減っている。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
5,https://www.factcheckcenter.jp/fact-check/health/this-years-influenza-vaccine-mrna-false/,2022/10/13,誤り,医療・健康,https://x.com/i/status/1575146590683402241,テキスト,2022年のインフルエンザワクチンはmRNAワクチンである。,https://www.mhlw.go.jp/content/10906000/000917576.pdf,2022年のインフルエンザワクチンはmRNAワクチンではない。,True,False,https://www.cov19-vaccine.mhlw.go.jp/qa/0021.html https://www.cov19-vaccine.mhlw.go.jp/qa/0018.html https://www.mhlw.go.jp/content/10906000/000917576.pdf,False,2022年度のインフルエンザワクチンは2021年度までと変わらず不活化ワクチンで、「今年のインフルエンザワクチンはmRNA」というツイートは誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
6,https://www.factcheckcenter.jp/fact-check/health/this-years-influenza-vaccine-mrna-false/,2022/10/13,誤り,医療・健康,https://x.com/i/status/1575146590683402241,テキスト,2022年のインフルエンザワクチンはmRNAワクチンではない。,https://www.mhlw.go.jp/content/10906000/000917576.pdf,2022年のインフルエンザワクチンはmRNAワクチンではない。,True,True,https://www.cov19-vaccine.mhlw.go.jp/qa/0021.html https://www.cov19-vaccine.mhlw.go.jp/qa/0018.html https://www.mhlw.go.jp/content/10906000/000917576.pdf,True,2022年度のインフルエンザワクチンは2021年度までと変わらず不活化ワクチンである。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
7,https://www.factcheckcenter.jp/fact-check/politics/mynumber-card-pin-medical-treatment-denied-false-facial-recognition-verification-available/,2022/10/24,誤り,政治,https://x.com/i/status/1579065678560395264,テキスト,マイナンバーカードの暗証番号が判らないと医療を受けられなくなる。,https://www.mhlw.go.jp/stf/newpage_08277.html,マイナンバーカードの暗証番号が判らなくても医療を受けられる。,NA,False,https://www.mhlw.go.jp/stf/newpage_08277.html https://www.jpki.go.jp/procedure/password.html,False,暗証番号以外にも、本人確認の手段は設けられており、再設定も可能であることなどから、「暗証番号がわからなくなるとマイナンバーカードが使えなくなり、医療が受けられなくなる」は誤りと判定した。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
8,https://www.factcheckcenter.jp/fact-check/politics/mynumber-card-pin-medical-treatment-denied-false-facial-recognition-verification-available/,2022/10/24,誤り,政治,https://x.com/i/status/1579065678560395264,テキスト,マイナンバーカードの暗証番号が判らなくても医療を受けられる。,https://www.mhlw.go.jp/stf/newpage_08277.html,マイナンバーカードの暗証番号が判らなくても医療を受けられる。,NA,True,https://www.mhlw.go.jp/stf/newpage_08277.html https://www.jpki.go.jp/procedure/password.html,True,暗証番号以外にも、本人確認の手段は設けられており、再設定も可能である。,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-
9,https://www.factcheckcenter.jp/fact-check/health/video-claiming-child-killed-by-vaccine-with-mismatched-japanese-subtitles/,2022/10/31,誤り,医療・健康,https://x.com/i/status/1582515464445435904,"テキスト,動画1",投稿された動画は、新型コロナワクチンで子どもが死んだことを示す動画である。,https://www.youtube.com/watch?v=YD0Sg84L4Xw,投稿された動画は、新型コロナワクチンとは関係のない動画を新型コロナワクチンによるものと見せかける日本語字幕をつけたものである。,True,False,https://www.youtube.com/watch?v=YD0Sg84L4Xw,False,検証対象の動画は、デング熱ワクチンをめぐる動画の一部を切り出したもので、実際の音声とは異なる日本語字幕をつけている。このため、Twitter上の動画は誤り。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,True,False,True,True
10,https://www.factcheckcenter.jp/fact-check/health/video-claiming-child-killed-by-vaccine-with-mismatched-japanese-subtitles/,2022/10/31,誤り,医療・健康,https://x.com/i/status/1582515464445435904,"テキスト,動画1",投稿された動画は、新型コロナワクチンとは関係のない動画を新型コロナワクチンによるものと見せかける日本語字幕をつけたものである。,https://www.youtube.com/watch?v=YD0Sg84L4Xw,投稿された動画は、新型コロナワクチンとは関係のない動画を新型コロナワクチンによるものと見せかける日本語字幕をつけたものである。,True,True,https://www.youtube.com/watch?v=YD0Sg84L4Xw,True,検証対象の動画は、デング熱ワクチンをめぐる動画の一部を切り出したもので、実際の音声とは異なる日本語字幕をつけている。,0,-,-,-,-,-,-,-,-,-,-,-,-,1,True,False,False,True,False
